time,step,current,voltage,chgAh,disAh
784,1,0.0,4.1961,0.0,0.0
794,1,0.0,4.1951,0.0,0.0
804,1,0.0,4.1948,0.0,0.0
814,1,0.0,4.1945,0.0,0.0
824,1,0.0,4.1942,0.0,0.0
834,1,0.0,4.1942,0.0,0.0
844,1,0.0,4.1939,0.0,0.0
854,1,0.0,4.1939,0.0,0.0
864,1,0.0,4.1936,0.0,0.0
874,1,0.0,4.1936,0.0,0.0
884,1,0.0,4.1933,0.0,0.0
894,1,0.0,4.1933,0.0,0.0
904,1,0.0,4.1933,0.0,0.0
914,1,0.0,4.193,0.0,0.0
924,1,0.0,4.193,0.0,0.0
934,1,0.0,4.193,0.0,0.0
944,1,0.0,4.193,0.0,0.0
954,1,0.0,4.193,0.0,0.0
964,1,0.0,4.193,0.0,0.0
974,1,0.0,4.1927,0.0,0.0
984,1,0.0,4.1927,0.0,0.0
994,1,0.0,4.1927,0.0,0.0
1004,1,0.0,4.1927,0.0,0.0
1014,1,0.0,4.1927,0.0,0.0
1024,1,0.0,4.1927,0.0,0.0
1034,1,0.0,4.1923,0.0,0.0
1044,1,0.0,4.1923,0.0,0.0
1054,1,0.0,4.1923,0.0,0.0
1064,1,0.0,4.1923,0.0,0.0
1074,1,0.0,4.1923,0.0,0.0
1084,1,0.0,4.1923,0.0,0.0
1094,1,0.0,4.1923,0.0,0.0
1104,1,0.0,4.192,0.0,0.0
1114,1,0.0,4.192,0.0,0.0
1124,1,0.0,4.192,0.0,0.0
1134,1,0.0,4.192,0.0,0.0
1144,1,0.0,4.192,0.0,0.0
1154,1,0.0,4.192,0.0,0.0
1164,1,0.0,4.192,0.0,0.0
1174,1,0.0,4.192,0.0,0.0
1184,1,0.0,4.192,0.0,0.0
1194,1,0.0,4.192,0.0,0.0
1204,1,0.0,4.1917,0.0,0.0
1214,1,0.0,4.192,0.0,0.0
1224,1,0.0,4.1917,0.0,0.0
1234,1,0.0,4.192,0.0,0.0
1244,1,0.0,4.1917,0.0,0.0
1254,1,0.0,4.1917,0.0,0.0
1264,1,0.0,4.1917,0.0,0.0
1274,1,0.0,4.1917,0.0,0.0
1284,1,0.0,4.1917,0.0,0.0
1294,1,0.0,4.1917,0.0,0.0
1304,1,0.0,4.1917,0.0,0.0
1314,1,0.0,4.1917,0.0,0.0
1324,1,0.0,4.1917,0.0,0.0
1334,1,0.0,4.1917,0.0,0.0
1344,1,0.0,4.1914,0.0,0.0
1354,1,0.0,4.1914,0.0,0.0
1364,1,0.0,4.1914,0.0,0.0
1374,1,0.0,4.1914,0.0,0.0
1384,1,0.0,4.1914,0.0,0.0
1394,1,0.0,4.1914,0.0,0.0
1404,1,0.0,4.1914,0.0,0.0
1414,1,0.0,4.1914,0.0,0.0
1424,1,0.0,4.1914,0.0,0.0
1434,1,0.0,4.1914,0.0,0.0
1444,1,0.0,4.1914,0.0,0.0
1454,1,0.0,4.1914,0.0,0.0
1464,1,0.0,4.1914,0.0,0.0
1474,1,0.0,4.1914,0.0,0.0
1484,1,0.0,4.1914,0.0,0.0
1494,1,0.0,4.1914,0.0,0.0
1504,1,0.0,4.1914,0.0,0.0
1514,1,0.0,4.1908,0.0,0.0
1524,1,0.0,4.1914,0.0,0.0
1534,1,0.0,4.1914,0.0,0.0
1544,1,0.0,4.1914,0.0,0.0
1554,1,0.0,4.1914,0.0,0.0
1564,1,0.0,4.1914,0.0,0.0
1574,1,0.0,4.1914,0.0,0.0
1584,1,0.0,4.1908,0.0,0.0
1594,1,0.0,4.1908,0.0,0.0
1604,1,0.0,4.1908,0.0,0.0
1614,1,0.0,4.1908,0.0,0.0
1624,1,0.0,4.1908,0.0,0.0
1634,1,0.0,4.1908,0.0,0.0
1644,1,0.0,4.1908,0.0,0.0
1654,1,0.0,4.1908,0.0,0.0
1664,1,0.0,4.1908,0.0,0.0
1674,1,0.0,4.1908,0.0,0.0
1684,1,0.0,4.1908,0.0,0.0
1694,1,0.0,4.1908,0.0,0.0
1704,1,0.0,4.1908,0.0,0.0
1714,1,0.0,4.1908,0.0,0.0
1724,1,0.0,4.1908,0.0,0.0
1734,1,0.0,4.1908,0.0,0.0
1744,1,0.0,4.1908,0.0,0.0
1754,1,0.0,4.1908,0.0,0.0
1764,1,0.0,4.1905,0.0,0.0
1774,1,0.0,4.1908,0.0,0.0
1784,1,0.0,4.1908,0.0,0.0
1794,1,0.0,4.1905,0.0,0.0
1804,1,0.0,4.1908,0.0,0.0
1814,1,0.0,4.1905,0.0,0.0
1824,1,0.0,4.1905,0.0,0.0
1834,1,0.0,4.1908,0.0,0.0
1844,1,0.0,4.1905,0.0,0.0
1854,1,0.0,4.1905,0.0,0.0
1864,1,0.0,4.1905,0.0,0.0
1874,1,0.0,4.1905,0.0,0.0
1884,1,0.0,4.1905,0.0,0.0
1894,1,0.0,4.1905,0.0,0.0
1904,1,0.0,4.1905,0.0,0.0
1914,1,0.0,4.1905,0.0,0.0
1924,1,0.0,4.1905,0.0,0.0
1934,1,0.0,4.1905,0.0,0.0
1944,1,0.0,4.1905,0.0,0.0
1954,1,0.0,4.1905,0.0,0.0
1964,1,0.0,4.1905,0.0,0.0
1974,1,0.0,4.1905,0.0,0.0
1984,1,0.0,4.1905,0.0,0.0
1994,1,0.0,4.1905,0.0,0.0
2004,1,0.0,4.1905,0.0,0.0
2014,1,0.0,4.1905,0.0,0.0
2024,1,0.0,4.1905,0.0,0.0
2034,1,0.0,4.1905,0.0,0.0
2044,1,0.0,4.1905,0.0,0.0
2054,1,0.0,4.1905,0.0,0.0
2064,1,0.0,4.1905,0.0,0.0
2074,1,0.0,4.1905,0.0,0.0
2084,1,0.0,4.1905,0.0,0.0
2094,1,0.0,4.1905,0.0,0.0
2104,1,0.0,4.1905,0.0,0.0
