time,step,current,voltage,chgAh,disAh
54158,1,0.0,3.5029,0.0,0.0
54168,1,0.0,3.5029,0.0,0.0
54178,1,0.0,3.5029,0.0,0.0
54188,1,0.0,3.5029,0.0,0.0
54198,1,0.0,3.5029,0.0,0.0
54208,1,0.0,3.5029,0.0,0.0
54218,1,0.0,3.5029,0.0,0.0
54228,1,0.0,3.5029,0.0,0.0
54238,1,0.0,3.5029,0.0,0.0
54248,1,0.0,3.5032,0.0,0.0
54258,1,0.0,3.5032,0.0,0.0
54268,1,0.0,3.5032,0.0,0.0
54278,1,0.0,3.5032,0.0,0.0
54288,1,0.0,3.5032,0.0,0.0
54298,1,0.0,3.5032,0.0,0.0
54308,1,0.0,3.5032,0.0,0.0
54318,1,0.0,3.5029,0.0,0.0
54328,1,0.0,3.5032,0.0,0.0
54338,1,0.0,3.5032,0.0,0.0
54348,1,0.0,3.5032,0.0,0.0
54358,1,0.0,3.5032,0.0,0.0
54368,1,0.0,3.5032,0.0,0.0
54378,1,0.0,3.5032,0.0,0.0
54388,1,0.0,3.5032,0.0,0.0
54398,1,0.0,3.5032,0.0,0.0
54408,1,0.0,3.5032,0.0,0.0
54418,1,0.0,3.5032,0.0,0.0
54428,1,0.0,3.5032,0.0,0.0
54438,1,0.0,3.5032,0.0,0.0
54448,1,0.0,3.5032,0.0,0.0
54458,1,0.0,3.5032,0.0,0.0
54468,1,0.0,3.5032,0.0,0.0
54478,1,0.0,3.5035,0.0,0.0
54488,1,0.0,3.5032,0.0,0.0
54498,1,0.0,3.5032,0.0,0.0
54508,1,0.0,3.5032,0.0,0.0
54518,1,0.0,3.5032,0.0,0.0
54528,1,0.0,3.5035,0.0,0.0
54538,1,0.0,3.5035,0.0,0.0
54548,1,0.0,3.5035,0.0,0.0
54558,1,0.0,3.5035,0.0,0.0
54568,1,0.0,3.5032,0.0,0.0
54578,1,0.0,3.5035,0.0,0.0
54588,1,0.0,3.5032,0.0,0.0
54598,1,0.0,3.5035,0.0,0.0
54608,1,0.0,3.5035,0.0,0.0
54618,1,0.0,3.5035,0.0,0.0
54628,1,0.0,3.5035,0.0,0.0
54638,1,0.0,3.5035,0.0,0.0
54648,1,0.0,3.5035,0.0,0.0
54658,1,0.0,3.5035,0.0,0.0
54668,1,0.0,3.5035,0.0,0.0
54678,1,0.0,3.5035,0.0,0.0
54688,1,0.0,3.5035,0.0,0.0
54698,1,0.0,3.5035,0.0,0.0
54708,1,0.0,3.5035,0.0,0.0
54718,1,0.0,3.5035,0.0,0.0
54728,1,0.0,3.5035,0.0,0.0
54738,1,0.0,3.5035,0.0,0.0
54748,1,0.0,3.5035,0.0,0.0
54758,1,0.0,3.5035,0.0,0.0
54768,1,0.0,3.5035,0.0,0.0
54778,1,0.0,3.5035,0.0,0.0
54788,1,0.0,3.5035,0.0,0.0
54798,1,0.0,3.5035,0.0,0.0
54808,1,0.0,3.5035,0.0,0.0
54818,1,0.0,3.5035,0.0,0.0
54828,1,0.0,3.5035,0.0,0.0
54838,1,0.0,3.5035,0.0,0.0
54848,1,0.0,3.5035,0.0,0.0
54858,1,0.0,3.5038,0.0,0.0
54868,1,0.0,3.5038,0.0,0.0
54878,1,0.0,3.5035,0.0,0.0
54888,1,0.0,3.5038,0.0,0.0
54898,1,0.0,3.5038,0.0,0.0
54908,1,0.0,3.5035,0.0,0.0
54918,1,0.0,3.5038,0.0,0.0
54928,1,0.0,3.5038,0.0,0.0
54938,1,0.0,3.5038,0.0,0.0
54948,1,0.0,3.5038,0.0,0.0
54958,1,0.0,3.5038,0.0,0.0
54968,1,0.0,3.5038,0.0,0.0
54978,1,0.0,3.5038,0.0,0.0
54988,1,0.0,3.5038,0.0,0.0
54998,1,0.0,3.5038,0.0,0.0
55008,1,0.0,3.5038,0.0,0.0
55018,1,0.0,3.5038,0.0,0.0
55028,1,0.0,3.5038,0.0,0.0
55038,1,0.0,3.5038,0.0,0.0
55048,1,0.0,3.5038,0.0,0.0
55058,1,0.0,3.5038,0.0,0.0
55068,1,0.0,3.5038,0.0,0.0
55078,1,0.0,3.5038,0.0,0.0
55088,1,0.0,3.5038,0.0,0.0
55098,1,0.0,3.5038,0.0,0.0
55108,1,0.0,3.5038,0.0,0.0
55118,1,0.0,3.5038,0.0,0.0
55128,1,0.0,3.5038,0.0,0.0
55138,1,0.0,3.5038,0.0,0.0
55148,1,0.0,3.5038,0.0,0.0
55158,1,0.0,3.5038,0.0,0.0
55168,1,0.0,3.5038,0.0,0.0
55178,1,0.0,3.5041,0.0,0.0
55188,1,0.0,3.5038,0.0,0.0
55198,1,0.0,3.5038,0.0,0.0
55208,1,0.0,3.5038,0.0,0.0
55218,1,0.0,3.5041,0.0,0.0
55228,1,0.0,3.5041,0.0,0.0
55238,1,0.0,3.5038,0.0,0.0
55248,1,0.0,3.5041,0.0,0.0
55258,1,0.0,3.5041,0.0,0.0
55268,1,0.0,3.5041,0.0,0.0
55278,1,0.0,3.5041,0.0,0.0
55288,1,0.0,3.5041,0.0,0.0
55298,1,0.0,3.5041,0.0,0.0
55308,1,0.0,3.5041,0.0,0.0
55318,1,0.0,3.5041,0.0,0.0
55328,1,0.0,3.5041,0.0,0.0
55338,1,0.0,3.5041,0.0,0.0
55348,1,0.0,3.5041,0.0,0.0
55358,1,0.0,3.5041,0.0,0.0
55368,1,0.0,3.5041,0.0,0.0
55378,1,0.0,3.5041,0.0,0.0
55388,1,0.0,3.5041,0.0,0.0
55398,1,0.0,3.5041,0.0,0.0
55408,1,0.0,3.5041,0.0,0.0
55418,1,0.0,3.5041,0.0,0.0
55428,1,0.0,3.5041,0.0,0.0
55438,1,0.0,3.5041,0.0,0.0
55448,1,0.0,3.5041,0.0,0.0
55458,1,0.0,3.5041,0.0,0.0
55468,1,0.0,3.5041,0.0,0.0
55478,1,0.0,3.5041,0.0,0.0
55488,1,0.0,3.5041,0.0,0.0
55498,1,0.0,3.5041,0.0,0.0
55508,1,0.0,3.5041,0.0,0.0
55518,1,0.0,3.5041,0.0,0.0
55528,1,0.0,3.5041,0.0,0.0
55538,1,0.0,3.5041,0.0,0.0
55548,1,0.0,3.5041,0.0,0.0
55558,1,0.0,3.5044,0.0,0.0
55568,1,0.0,3.5041,0.0,0.0
55578,1,0.0,3.5044,0.0,0.0
55588,1,0.0,3.5041,0.0,0.0
55598,1,0.0,3.5044,0.0,0.0
55608,1,0.0,3.5044,0.0,0.0
55618,1,0.0,3.5041,0.0,0.0
55628,1,0.0,3.5041,0.0,0.0
55638,1,0.0,3.5044,0.0,0.0
55648,1,0.0,3.5044,0.0,0.0
55658,1,0.0,3.5044,0.0,0.0
55668,1,0.0,3.5044,0.0,0.0
55678,1,0.0,3.5044,0.0,0.0
55688,1,0.0,3.5044,0.0,0.0
55698,1,0.0,3.5044,0.0,0.0
55708,1,0.0,3.5044,0.0,0.0
55718,1,0.0,3.5041,0.0,0.0
55728,1,0.0,3.5044,0.0,0.0
55738,1,0.0,3.5044,0.0,0.0
55748,1,0.0,3.5044,0.0,0.0
55758,1,0.0,3.5044,0.0,0.0
55768,1,0.0,3.5044,0.0,0.0
55778,1,0.0,3.5044,0.0,0.0
55788,1,0.0,3.5044,0.0,0.0
55798,1,0.0,3.5044,0.0,0.0
55808,1,0.0,3.5044,0.0,0.0
