time,step,current,voltage,chgAh,disAh
58451,1,0.0,3.5007,0.0,0.0
58461,1,0.0,3.5007,0.0,0.0
58471,1,0.0,3.5007,0.0,0.0
58481,1,0.0,3.5007,0.0,0.0
58491,1,0.0,3.5007,0.0,0.0
58501,1,0.0,3.5007,0.0,0.0
58511,1,0.0,3.5007,0.0,0.0
58521,1,0.0,3.5007,0.0,0.0
58531,1,0.0,3.5007,0.0,0.0
58541,1,0.0,3.5007,0.0,0.0
58551,1,0.0,3.5007,0.0,0.0
58561,1,0.0,3.5007,0.0,0.0
58571,1,0.0,3.5007,0.0,0.0
58581,1,0.0,3.5007,0.0,0.0
58591,1,0.0,3.5007,0.0,0.0
58601,1,0.0,3.5007,0.0,0.0
58611,1,0.0,3.5007,0.0,0.0
58621,1,0.0,3.5007,0.0,0.0
58631,1,0.0,3.5007,0.0,0.0
58641,1,0.0,3.5007,0.0,0.0
58651,1,0.0,3.5007,0.0,0.0
58661,1,0.0,3.5007,0.0,0.0
58671,1,0.0,3.5007,0.0,0.0
58681,1,0.0,3.5007,0.0,0.0
58691,1,0.0,3.501,0.0,0.0
58701,1,0.0,3.5007,0.0,0.0
58711,1,0.0,3.501,0.0,0.0
58721,1,0.0,3.5007,0.0,0.0
58731,1,0.0,3.501,0.0,0.0
58741,1,0.0,3.5007,0.0,0.0
58751,1,0.0,3.501,0.0,0.0
58761,1,0.0,3.501,0.0,0.0
58771,1,0.0,3.501,0.0,0.0
58781,1,0.0,3.501,0.0,0.0
58791,1,0.0,3.501,0.0,0.0
58801,1,0.0,3.501,0.0,0.0
58811,1,0.0,3.501,0.0,0.0
58821,1,0.0,3.5007,0.0,0.0
58831,1,0.0,3.501,0.0,0.0
58841,1,0.0,3.501,0.0,0.0
58851,1,0.0,3.501,0.0,0.0
58861,1,0.0,3.501,0.0,0.0
58871,1,0.0,3.501,0.0,0.0
58881,1,0.0,3.501,0.0,0.0
58891,1,0.0,3.501,0.0,0.0
58901,1,0.0,3.501,0.0,0.0
58911,1,0.0,3.501,0.0,0.0
58921,1,0.0,3.501,0.0,0.0
58931,1,0.0,3.501,0.0,0.0
58941,1,0.0,3.501,0.0,0.0
58951,1,0.0,3.501,0.0,0.0
58961,1,0.0,3.501,0.0,0.0
58971,1,0.0,3.501,0.0,0.0
58981,1,0.0,3.501,0.0,0.0
58991,1,0.0,3.501,0.0,0.0
59001,1,0.0,3.501,0.0,0.0
59011,1,0.0,3.501,0.0,0.0
59021,1,0.0,3.501,0.0,0.0
59031,1,0.0,3.5013,0.0,0.0
59041,1,0.0,3.501,0.0,0.0
59051,1,0.0,3.5013,0.0,0.0
59061,1,0.0,3.501,0.0,0.0
59071,1,0.0,3.501,0.0,0.0
59081,1,0.0,3.501,0.0,0.0
59091,1,0.0,3.5013,0.0,0.0
59101,1,0.0,3.5013,0.0,0.0
59111,1,0.0,3.5013,0.0,0.0
59121,1,0.0,3.501,0.0,0.0
59131,1,0.0,3.501,0.0,0.0
59141,1,0.0,3.501,0.0,0.0
59151,1,0.0,3.5013,0.0,0.0
59161,1,0.0,3.5013,0.0,0.0
59171,1,0.0,3.5013,0.0,0.0
59181,1,0.0,3.501,0.0,0.0
59191,1,0.0,3.5013,0.0,0.0
59201,1,0.0,3.501,0.0,0.0
59211,1,0.0,3.5013,0.0,0.0
59221,1,0.0,3.5013,0.0,0.0
59231,1,0.0,3.5013,0.0,0.0
59241,1,0.0,3.5013,0.0,0.0
59251,1,0.0,3.5013,0.0,0.0
59261,1,0.0,3.5013,0.0,0.0
59271,1,0.0,3.5013,0.0,0.0
59281,1,0.0,3.5013,0.0,0.0
59291,1,0.0,3.5013,0.0,0.0
59301,1,0.0,3.5013,0.0,0.0
59311,1,0.0,3.5013,0.0,0.0
59321,1,0.0,3.5013,0.0,0.0
59331,1,0.0,3.5013,0.0,0.0
