time,step,current,voltage,chgAh,disAh
72761,1,0.0,2.7548,0.0,0.0
72771,1,0.0,2.7647,0.0,0.0
72781,1,0.0,2.769,0.0,0.0
72791,1,0.0,2.7725,0.0,0.0
72801,1,0.0,2.7756,0.0,0.0
72811,1,0.0,2.778,0.0,0.0
72821,1,0.0,2.7805,0.0,0.0
72831,1,0.0,2.7827,0.0,0.0
72841,1,0.0,2.7849,0.0,0.0
72851,1,0.0,2.7864,0.0,0.0
72861,1,0.0,2.7883,0.0,0.0
72871,1,0.0,2.7901,0.0,0.0
72881,1,0.0,2.792,0.0,0.0
72891,1,0.0,2.7932,0.0,0.0
72901,1,0.0,2.7948,0.0,0.0
72911,1,0.0,2.796,0.0,0.0
72921,1,0.0,2.7979,0.0,0.0
72931,1,0.0,2.7991,0.0,0.0
72941,1,0.0,2.8004,0.0,0.0
72951,1,0.0,2.8016,0.0,0.0
72961,1,0.0,2.8028,0.0,0.0
72971,1,0.0,2.8041,0.0,0.0
72981,1,0.0,2.8053,0.0,0.0
72991,1,0.0,2.8066,0.0,0.0
73001,1,0.0,2.8075,0.0,0.0
73011,1,0.0,2.8087,0.0,0.0
73021,1,0.0,2.8097,0.0,0.0
73031,1,0.0,2.8106,0.0,0.0
73041,1,0.0,2.8118,0.0,0.0
73051,1,0.0,2.8131,0.0,0.0
73061,1,0.0,2.814,0.0,0.0
73071,1,0.0,2.8149,0.0,0.0
73081,1,0.0,2.8159,0.0,0.0
73091,1,0.0,2.8168,0.0,0.0
73101,1,0.0,2.8177,0.0,0.0
73111,1,0.0,2.8187,0.0,0.0
73121,1,0.0,2.8193,0.0,0.0
73131,1,0.0,2.8202,0.0,0.0
73141,1,0.0,2.8214,0.0,0.0
73151,1,0.0,2.8224,0.0,0.0
73161,1,0.0,2.823,0.0,0.0
73171,1,0.0,2.8239,0.0,0.0
73181,1,0.0,2.8245,0.0,0.0
73191,1,0.0,2.8255,0.0,0.0
73201,1,0.0,2.8261,0.0,0.0
73211,1,0.0,2.827,0.0,0.0
73221,1,0.0,2.8276,0.0,0.0
73231,1,0.0,2.8283,0.0,0.0
73241,1,0.0,2.8295,0.0,0.0
73251,1,0.0,2.8301,0.0,0.0
73261,1,0.0,2.8311,0.0,0.0
73271,1,0.0,2.8317,0.0,0.0
73281,1,0.0,2.8323,0.0,0.0
73291,1,0.0,2.8332,0.0,0.0
73301,1,0.0,2.8338,0.0,0.0
73311,1,0.0,2.8345,0.0,0.0
73321,1,0.0,2.8351,0.0,0.0
73331,1,0.0,2.8357,0.0,0.0
73341,1,0.0,2.8366,0.0,0.0
73351,1,0.0,2.8376,0.0,0.0
73361,1,0.0,2.8382,0.0,0.0
73371,1,0.0,2.8388,0.0,0.0
73381,1,0.0,2.8394,0.0,0.0
73391,1,0.0,2.84,0.0,0.0
