time,step,current,voltage,chgAh,disAh
77842,1,0.0,2.7542,0.0,0.0
77852,1,0.0,2.7613,0.0,0.0
77862,1,0.0,2.765,0.0,0.0
77872,1,0.0,2.7684,0.0,0.0
77882,1,0.0,2.7709,0.0,0.0
77892,1,0.0,2.7734,0.0,0.0
77902,1,0.0,2.7759,0.0,0.0
77912,1,0.0,2.7777,0.0,0.0
77922,1,0.0,2.7799,0.0,0.0
77932,1,0.0,2.7814,0.0,0.0
77942,1,0.0,2.7836,0.0,0.0
77952,1,0.0,2.7852,0.0,0.0
77962,1,0.0,2.7867,0.0,0.0
77972,1,0.0,2.7883,0.0,0.0
77982,1,0.0,2.7901,0.0,0.0
77992,1,0.0,2.7914,0.0,0.0
78002,1,0.0,2.7929,0.0,0.0
78012,1,0.0,2.7942,0.0,0.0
78022,1,0.0,2.7954,0.0,0.0
78032,1,0.0,2.7966,0.0,0.0
78042,1,0.0,2.7982,0.0,0.0
78052,1,0.0,2.7994,0.0,0.0
78062,1,0.0,2.8007,0.0,0.0
78072,1,0.0,2.8016,0.0,0.0
78082,1,0.0,2.8028,0.0,0.0
78092,1,0.0,2.8041,0.0,0.0
78102,1,0.0,2.8053,0.0,0.0
78112,1,0.0,2.8062,0.0,0.0
78122,1,0.0,2.8075,0.0,0.0
78132,1,0.0,2.8084,0.0,0.0
78142,1,0.0,2.8093,0.0,0.0
78152,1,0.0,2.8103,0.0,0.0
78162,1,0.0,2.8112,0.0,0.0
78172,1,0.0,2.8121,0.0,0.0
78182,1,0.0,2.8134,0.0,0.0
78192,1,0.0,2.8143,0.0,0.0
78202,1,0.0,2.8152,0.0,0.0
78212,1,0.0,2.8162,0.0,0.0
78222,1,0.0,2.8171,0.0,0.0
78232,1,0.0,2.818,0.0,0.0
78242,1,0.0,2.8187,0.0,0.0
78252,1,0.0,2.8196,0.0,0.0
78262,1,0.0,2.8208,0.0,0.0
78272,1,0.0,2.8214,0.0,0.0
78282,1,0.0,2.8224,0.0,0.0
78292,1,0.0,2.8233,0.0,0.0
78302,1,0.0,2.8239,0.0,0.0
78312,1,0.0,2.8249,0.0,0.0
78322,1,0.0,2.8255,0.0,0.0
78332,1,0.0,2.8264,0.0,0.0
78342,1,0.0,2.827,0.0,0.0
78352,1,0.0,2.8276,0.0,0.0
78362,1,0.0,2.8289,0.0,0.0
78372,1,0.0,2.8295,0.0,0.0
78382,1,0.0,2.8301,0.0,0.0
78392,1,0.0,2.8307,0.0,0.0
78402,1,0.0,2.8314,0.0,0.0
78412,1,0.0,2.8323,0.0,0.0
78422,1,0.0,2.8329,0.0,0.0
78432,1,0.0,2.8335,0.0,0.0
78442,1,0.0,2.8345,0.0,0.0
78452,1,0.0,2.8351,0.0,0.0
78462,1,0.0,2.8357,0.0,0.0
78472,1,0.0,2.8366,0.0,0.0
78482,1,0.0,2.8373,0.0,0.0
78492,1,0.0,2.8379,0.0,0.0
78502,1,0.0,2.8385,0.0,0.0
78512,1,0.0,2.8391,0.0,0.0
78522,1,0.0,2.8397,0.0,0.0
78532,1,0.0,2.8404,0.0,0.0
78542,1,0.0,2.841,0.0,0.0
78552,1,0.0,2.8416,0.0,0.0
78562,1,0.0,2.8422,0.0,0.0
78572,1,0.0,2.8428,0.0,0.0
78582,1,0.0,2.8435,0.0,0.0
78592,1,0.0,2.8444,0.0,0.0
78602,1,0.0,2.845,0.0,0.0
78612,1,0.0,2.8453,0.0,0.0
78622,1,0.0,2.8459,0.0,0.0
78632,1,0.0,2.8466,0.0,0.0
78642,1,0.0,2.8472,0.0,0.0
78652,1,0.0,2.8478,0.0,0.0
78662,1,0.0,2.8484,0.0,0.0
78672,1,0.0,2.849,0.0,0.0
78682,1,0.0,2.8493,0.0,0.0
78692,1,0.0,2.85,0.0,0.0
78702,1,0.0,2.8506,0.0,0.0
78712,1,0.0,2.8509,0.0,0.0
78722,1,0.0,2.8515,0.0,0.0
78732,1,0.0,2.8524,0.0,0.0
78742,1,0.0,2.8531,0.0,0.0
78752,1,0.0,2.8534,0.0,0.0
78762,1,0.0,2.854,0.0,0.0
78772,1,0.0,2.8543,0.0,0.0
78782,1,0.0,2.8549,0.0,0.0
78792,1,0.0,2.8555,0.0,0.0
78802,1,0.0,2.8559,0.0,0.0
78812,1,0.0,2.8565,0.0,0.0
78822,1,0.0,2.8571,0.0,0.0
78832,1,0.0,2.8574,0.0,0.0
78842,1,0.0,2.858,0.0,0.0
78852,1,0.0,2.8583,0.0,0.0
78862,1,0.0,2.859,0.0,0.0
78872,1,0.0,2.8593,0.0,0.0
78882,1,0.0,2.8602,0.0,0.0
78892,1,0.0,2.8605,0.0,0.0
78902,1,0.0,2.8611,0.0,0.0
78912,1,0.0,2.8614,0.0,0.0
78922,1,0.0,2.8617,0.0,0.0
78932,1,0.0,2.8624,0.0,0.0
78942,1,0.0,2.863,0.0,0.0
78952,1,0.0,2.8633,0.0,0.0
78962,1,0.0,2.8639,0.0,0.0
78972,1,0.0,2.8642,0.0,0.0
78982,1,0.0,2.8645,0.0,0.0
78992,1,0.0,2.8652,0.0,0.0
79002,1,0.0,2.8655,0.0,0.0
79012,1,0.0,2.8661,0.0,0.0
79022,1,0.0,2.8664,0.0,0.0
79032,1,0.0,2.8667,0.0,0.0
79042,1,0.0,2.867,0.0,0.0
